Date Added to Catalog	PUBMEDID	First Author	Date	Journal	Link	Study	Disease/Trait	Initial Sample Size	Replication Sample Size	Region	Chr_id	Chr_pos	Reported Gene(s)	Mapped_gene	Upstream_gene_id	Downstream_gene_id	Snp_gene_ids	Upstream_gene_distance	Downstream_gene_distance	Strongest SNP-Risk Allele	SNPs	Merged	Snp_id_current	Context	Intergenic	Risk Allele Frequency	p-Value	Pvalue_mlog	p-Value (text)	OR or beta	95% CI (text)	Platform [SNPs passing QC]	CNV
04/20/2012	22445761	Kurose K	03/23/2012	Psychiatry Res	http://www.ncbi.nlm.nih.gov/pubmed/22445761	Genome-wide association study of SSRI/SNRI-induced sexual dysfunction in a Japanese cohort with major depression.	Sexual dysfunction (SSRI/SNRI-related)	201 Japanese ancestry individuals	NR	14q21.3	14	48015982	MDGA2	MDGA2			161357			rs1160351-T	rs1160351	0	1160351	intron	1	0.381	3E-7	6.522878745280337		   2.92	[1.79-4.76] 	Affymetrix [186,320]	N
04/20/2012	22445761	Kurose K	03/23/2012	Psychiatry Res	http://www.ncbi.nlm.nih.gov/pubmed/22445761	Genome-wide association study of SSRI/SNRI-induced sexual dysfunction in a Japanese cohort with major depression.	Sexual dysfunction (SSRI/SNRI-related)	201 Japanese ancestry individuals	NR	14q12	14	30594657	RP11-269 C4.1	RPS6P24 - SYF2P1	100128358	317778		       69.46	      416.30	rs225848-G	rs225848	0	225848	Intergenic	2	0.028	1E-6	5.999999999999999		   4.42	[2.12-9.26] 	Affymetrix [186,320]	N
04/20/2012	22445761	Kurose K	03/23/2012	Psychiatry Res	http://www.ncbi.nlm.nih.gov/pubmed/22445761	Genome-wide association study of SSRI/SNRI-induced sexual dysfunction in a Japanese cohort with major depression.	Sexual dysfunction (SSRI/SNRI-related)	201 Japanese ancestry individuals	NR	14q32.2	14	98670158	AL163760.3	C14orf64 - C14orf177	388011	283598		      225.70	      507.79	rs857228-T	rs857228	0	857228	Intergenic	2	0.354	3E-6	5.522878745280337		   2.56	[1.60-4.08] 	Affymetrix [186,320]	N
04/20/2012	22445761	Kurose K	03/23/2012	Psychiatry Res	http://www.ncbi.nlm.nih.gov/pubmed/22445761	Genome-wide association study of SSRI/SNRI-induced sexual dysfunction in a Japanese cohort with major depression.	Sexual dysfunction (SSRI/SNRI-related)	201 Japanese ancestry individuals	NR	19p13.2	19	7424528	AC119396.1	INSR - ARHGEF18	3643	23370		      130.52	       35.47	rs6603109-A	rs6603109	0	6603109	Intergenic	2	0.017	2E-6	5.698970004336018		   5.13	[2.22-11.76] 	Affymetrix [186,320]	N
04/20/2012	22445761	Kurose K	03/23/2012	Psychiatry Res	http://www.ncbi.nlm.nih.gov/pubmed/22445761	Genome-wide association study of SSRI/SNRI-induced sexual dysfunction in a Japanese cohort with major depression.	Sexual dysfunction (SSRI/SNRI-related)	201 Japanese ancestry individuals	NR	5q23.3	5	129000386	ADAMTS19	ADAMTS19			171019			rs13436218-C	rs13436218	0	13436218	intron	1	0.012	1E-6	5.999999999999999		   5.92	[4.67-7.52] 	Affymetrix [186,320]	N
04/06/2012	22419738	Osman W	03/22/2012	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/22419738	A genome-wide association study in the Japanese population confirms 9p21 and 14q23 as susceptibility loci for primary open angle glaucoma.	Glaucoma (primary open-angle)	1,394 Japanese ancestry cases, 6,599 Japanese ancestry controls	1,802 Japanese ancestry cases, 7,212 Japanese ancestry controls	2q21.2	2	134363032	NCKAP5	NCKAP5 - MGAT5	344148	4249		       37.00	      648.80	rs7588567-G	rs7588567	0	7588567	Intergenic	2	0.586	4E-7	6.397940008672037		   1.18	[1.10-1.25] 	Illumina [602,216]	N
04/06/2012	22419738	Osman W	03/22/2012	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/22419738	A genome-wide association study in the Japanese population confirms 9p21 and 14q23 as susceptibility loci for primary open angle glaucoma.	Glaucoma (primary open-angle)	1,394 Japanese ancestry cases, 6,599 Japanese ancestry controls	1,802 Japanese ancestry cases, 7,212 Japanese ancestry controls	9p21.3	9	22003367	CDKN2B	CDKN2B			1030			rs1063192-T	rs1063192	0	1063192	UTR-3	1	0.79	5E-11	10.30102999566398		   1.33	[1.22-1.43] 	Illumina [602,216]	N
04/06/2012	22419738	Osman W	03/22/2012	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/22419738	A genome-wide association study in the Japanese population confirms 9p21 and 14q23 as susceptibility loci for primary open angle glaucoma.	Glaucoma (primary open-angle)	1,394 Japanese ancestry cases, 6,599 Japanese ancestry controls	1,802 Japanese ancestry cases, 7,212 Japanese ancestry controls	14q23.1	14	61072875	SIX1, SIX6	RPS15AP4 - SIX1	654371	6495		        3.61	       38.54	rs10483727-T	rs10483727	0	10483727	Intergenic	2	0.768	9E-8	7.045757490560674		   1.27	[1.18-1.37] 	Illumina [602,216]	N
04/18/2012	22437316	Sarig O	03/22/2012	J Invest Dermatol	http://www.ncbi.nlm.nih.gov/pubmed/22437316	Population-Specific Association between a Polymorphic Variant in ST18, Encoding a Pro-Apoptotic Molecule, and Pemphigus Vulgaris.	Pemphigus vulgaris	100 Jewish ancestry cases, 397 Jewish ancestry controls	59 Jewish ancestry cases, 285 Jewish ancestry controls, 124 European ancestry cases, 275 European anestry controls, 126 North African ancestry controls, 246 North African ancestry controls	NR			NR	 - 						NR	NR					NR	NS		NS	NR	NR	Illumina [293,635]	N
04/18/2012	22430674	Lambert JC	03/20/2012	Mol Psychiatry	http://www.ncbi.nlm.nih.gov/pubmed/22430674	Genome-wide haplotype association study identifies the FRMD4A gene as a risk locus for Alzheimer's disease.	Alzheimer's disease	2,025 European ancestry cases, 5,328 European ancestry controls	7,913 European ancestry cases, 10,417 European ancestry controls	10p13			FRMD4A	 - 						3-SNP haplotype	rs7081208, rs2446581, rs17314229					0.028	1E-10			   1.68	[1.43-1.96]  (AAC)	Illumina [~7.7 million] (imputed)	N
